sponsor,tier,year,conference,is_bigtech,canonical_name
neural magic,gold,2022,neurips,False,NA
omniml inc.,gold,2022,neurips,False,NA
owkin,gold,2022,neurips,False,NA
pachyderm,gold,2022,neurips,False,NA
samsung sail montreal,gold,2022,neurips,True,samsung
sandboxaq,gold,2022,neurips,False,NA
servicenow,gold,2022,neurips,False,NA
toloka ai,gold,2022,neurips,True,alibaba
yahoo!,gold,2022,neurips,False,NA
yokogawa digital corporation,gold,2022,neurips,False,NA
balyasny asset management,silver,2022,neurips,False,NA
"beijing baidu netcom science technology co., ltd",silver,2022,neurips,False,NA
cruise,silver,2022,neurips,False,NA
gensyn,silver,2022,neurips,False,NA
hewlett packard enterprise,silver,2022,neurips,False,NA
manteio capital,silver,2022,neurips,False,NA
"quantumblack, ai by mckinsey",silver,2022,neurips,False,NA
relation therapeutics,silver,2022,neurips,False,NA
secondmind,silver,2022,neurips,False,NA
the vector institute,silver,2022,neurips,False,NA
cambridge university press,book,2022,neurips,False,NA
"intelligent computing, a science partner journal",book,2022,neurips,False,NA
mit press,book,2022,neurips,False,NA
princeton university press,book,2022,neurips,False,NA
society for industrial & applied mathematics,book,2022,neurips,False,NA
springer,book,2022,neurips,False,NA
astrazeneca,diamond,2022,icml,False,NA
google llc,diamond,2022,icml,True,alphabet
g-research,diamond,2022,icml,False,NA
meta,diamond,2022,icml,True,meta
amazon science,platinum,2022,icml,True,amazon
apple,platinum,2022,icml,True,apple
deepmind technologies ltd,platinum,2022,icml,True,alphabet
bytedance,gold,2022,icml,True,bytedance
citadel | citadel securities,gold,2022,icml,False,NA
microsoft corporation,gold,2022,icml,True,microsoft
xtx markets,gold,2022,icml,False,NA
absci,silver,2022,icml,False,NA
alegion,silver,2022,icml,False,NA
"beijing baidu netcom science technology co., ltd",silver,2022,icml,False,NA
bloomberg,silver,2022,icml,False,NA
bosch,silver,2022,icml,False,NA
capital one,silver,2022,icml,False,NA
criteo,silver,2022,icml,False,NA
"huawei technologies co., ltd.",silver,2022,icml,True,huawei
hudson river trading,silver,2022,icml,False,NA
invenia labs,silver,2022,icml,False,NA
micron,silver,2022,icml,False,NA
morgan stanley,silver,2022,icml,False,NA
